,frame_idx,x1,y1,x2,y2,cx,cy,confidence,nearest_to_ball,dist_to_ball
81,100099,1377,468,1456,828,1416,648,0.81321156,True,38.3275357934736
82,100099,498,341,595,624,546,482,0.7760503,False,851.3900398759666
83,100099,812,416,908,656,860,536,0.7659982,False,533.1463213790375
84,100099,1285,826,1430,1076,1357,951,0.7196011,False,293.82477771624366
85,100099,1692,238,1787,560,1739,399,0.69633806,False,443.48731661683405
86,100099,1663,819,1855,1075,1759,947,0.6503634,False,477.41072463864907
87,100099,869,233,996,444,932,338,0.6213949,False,549.7353908927457
88,100099,689,212,813,432,751,322,0.56079394,False,712.2359159716674
89,100099,1579,222,1667,493,1623,357,0.52707726,False,387.4751604941922
90,100100,936,334,1086,671,1011,502,0.87582886,False,396.9395419960072
91,100100,1139,351,1282,676,1210,513,0.8462373,False,220.41097976280582
92,100100,476,516,594,879,535,697,0.8303694,False,841.903794978975
93,100100,763,543,891,904,827,723,0.8277119,False,552.834514117923
94,100100,1378,468,1451,828,1414,648,0.8027446,True,39.293765408777
95,100100,499,341,593,624,546,482,0.76561683,False,848.455066576893
96,100100,812,416,909,657,860,536,0.7579752,False,530.2263667529181
97,100100,1284,825,1431,1076,1357,950,0.72801983,False,292.61749776799064
98,100100,1692,238,1789,559,1740,398,0.71247375,False,447.3209138862166
99,100100,869,233,997,442,933,337,0.63825524,False,547.0740352091296
100,100100,1685,820,1852,1075,1768,947,0.56681204,False,487.01642682767897
101,100100,689,212,813,432,751,322,0.56554383,False,709.5921363713102
102,100100,1577,221,1671,494,1624,357,0.5644462,False,390.00641020372984
103,100100,1400,274,1511,465,1455,369,0.50011075,False,299.60307074527793
104,100101,938,333,1083,671,1010,502,0.8726878,False,396.02020150492325
105,100101,1139,350,1281,676,1210,513,0.86070055,False,218.908656749796
106,100101,763,546,895,904,829,725,0.85300326,False,549.1029047455495
107,100101,477,517,593,880,535,698,0.8433044,False,839.9529748741891
108,100101,1377,468,1449,828,1413,648,0.80402577,True,40.26164427839479
109,100101,813,416,908,657,860,536,0.7877513,False,528.2802286665667
110,100101,500,340,593,625,546,482,0.78515893,False,846.4986709971847
111,100101,1692,238,1790,559,1741,398,0.7124488,False,449.7654944523868
112,100101,1284,827,1431,1076,1357,951,0.7106895,False,293.492759706266
113,100101,869,233,997,444,933,338,0.63253224,False,544.8678738923777
114,100101,690,212,814,433,752,322,0.5788496,False,706.9512005789367
