,offset_ms,offset_sec,frame_idx,text
266,958447,958.447,28753,warriors barely good this year
267,967689,967.689,29030,hi
268,969387,969.387,29081,Exactly
269,970748,970.748,29122,@Sam Jordan that wont happen
270,977369,977.369,29321,I love Jimmy Butler these days
271,978216,978.216,29346,Lakers in 10 place
272,982376,982.376,29471,@Sam Jordan that wont happen goofy
273,989637,989.637,29689,Warriors
274,998374,998.374,29951,who is better bro
275,999092,999.092,29972,Warriors finna lose to a play in team
276,1000098,1000.098,30002,warriors have thompson wiggins draymond poole they can still win without curry
277,1009905,1009.905,30297,lebron one more title and FMVP to come
278,1020039,1020.039,30601,thompson and draymond are old
279,1020424,1020.424,30612,Klay is washed    cry about it
280,1027144,1027.144,30814,jordan Poole is a bum
281,1028385,1028.385,30851,So is curry
282,1033587,1033.587,31007,lebron is old
283,1036399,1036.399,31091,@siddharth it likely won't because AD is insane but we'll see
284,1039353,1039.353,31180,@shayaanshah onb
285,1040216,1040.216,31206,GS will never lose this time please
286,1042915,1042.915,31287,and Lebron still good
287,1044140,1044.14,31324,klay and dray are the biggest jokers
288,1045375,1045.375,31361,No klay not washed
289,1048665,1048.665,31459,davis without lebron is nothing
290,1050519,1050.519,31515,And lebron solos the trash warriors
291,1053918,1053.918,31617,klay washed ash
292,1070844,1070.844,32125,Bro has a fortnite pfp
293,1071384,1071.384,32141,Lebron without AD wouldn't even make the playoffs
294,1071514,1071.514,32145,damn AD taking the technical free throw. a lot has changed.
295,1078861,1078.861,32365,Lebron old but still better than curry maybe a little worse
296,1079851,1079.851,32395,emagine lakers will win and they will lose
297,1100279,1100.279,33008,Foo u don’t know nothing your a hater will see warriors will win tonight u see Lebron is washed he needs too much help haters they can barely beat the warriors haters check it haters
298,1101582,1101.582,33047,warriors are going to win this series
299,1103532,1103.532,33105,go GS
300,1104824,1104.824,33144,Lakers one 3 outta 4 games against the warriors this season
301,1107896,1107.896,33236,its wraps
302,1114592,1114.592,33437,damn caruso still on the lakers nice
303,1119232,1119.232,33576,bro doesnt even have a pf
304,1119920,1119.92,33597,Jayson Tatum
305,1124878,1124.878,33746,curry is better
306,1127785,1127.785,33833,This feels so long ago even tho it wasnt
307,1129782,1129.782,33893,lebron at 99woulf still be better than Young Steph
308,1135070,1135.07,34052,@To stfu u just found out the warriors and lakers are playing in the playoffs this year
309,1137198,1137.198,34115,brodie got a marshmallow pfp
310,1139782,1139.782,34193,looks like interesting
311,1146610,1146.61,34398,Montrez in a laker uniform looks odd
312,1148254,1148.254,34447,@mahomes 15 ur a w ong
313,1163394,1163.394,34901,bro doesnt even have a pfp
314,1167131,1167.131,35013,oohh nice curry
315,1167264,1167.264,35017,@shayaanshah onb you too
316,1169607,1169.607,35088,@Norman Otterman BRO I KNOW YOU FROM DISCORD
317,1173939,1173.939,35218,YOU 16
318,1176713,1176.713,35301,Brodie yo name kirjol
319,1177266,1177.266,35317,who won this game
320,1180528,1180.528,35415,Curry with the fresh cut
321,1182505,1182.505,35475,those warriors unis were tufff
322,1183098,1183.098,35492,i got more money then you
323,1184184,1184.184,35525,AD is the best player on the planet
324,1186109,1186.109,35583,who got a parlay for this second half?
325,1189154,1189.154,35674,you can’t go band for band
326,1193477,1193.477,35804,warriors are going to win in game 7
327,1203719,1203.719,36111,@ mahomes 15 who you like LAL or GS
328,1210825,1210.825,36324,lakers finna sweep the warriors so you’re wrong
329,1212654,1212.654,36379,Where’s courtside baddies boy
330,1213966,1213.966,36418,lakers in 4
331,1215323,1215.323,36459,krijol game 2 hasn’t even happened
332,1221927,1221.927,36657,Where’s lebron?
333,1225903,1225.903,36777,jordan Poole is a bum on my brothers
334,1229609,1229.609,36888,i know kid
335,1231902,1231.902,36957,Covid
336,1233923,1233.923,37017,Faxxx
337,1234136,1234.136,37024,king the goat curry
338,1241990,1241.99,37259,i am just saying warriors are going to win
339,1243333,1243.333,37299,He in the top 3 and he not 2 or 3
340,1243635,1243.635,37309,Bros calling me kid
341,1244888,1244.888,37346,Yoooooo
342,1247626,1247.626,37428,Fortnite pfp
343,1249045,1249.045,37471,curry a bum on my brothers
344,1249846,1249.846,37495,JIMVP
345,1252894,1252.894,37586,Brodie we older then you
346,1254066,1254.066,37621,you ae
347,1258088,1258.088,37742,Hi
348,1263149,1263.149,37894,except looney everyone else is just a bum in Warriors
349,1263332,1263.332,37899,we got more bands then you
350,1272083,1272.083,38162,saying as a lakers will win idk
351,1273277,1273.277,38198,hit us up when you made 10 racks in a day
352,1276407,1276.407,38292,moments before the trades disaster
353,1277375,1277.375,38321,Warriors in six
354,1278298,1278.298,38348,@mahomes curry is good but these bandwagon warrior fans think that he is better than lebron
355,1288710,1288.71,38661,Lakers in 5 mf
356,1291900,1291.9,38757,TRUST ME LAKERS IN 5
357,1292717,1292.717,38781,@shayaanshah onb
358,1295643,1295.643,38869,lakers in 4
359,1296519,1296.519,38895,ь
360,1297476,1297.476,38924,4-1
361,1300741,1300.741,39022,y’all just keep lying to y’all selves
362,1304157,1304.157,39124,you don't want us to see next season
363,1304877,1304.877,39146,lakers in 6
364,1305192,1305.192,39155,lakers is trying to beat GS
365,1309909,1309.909,39297,KEVIN DURANT CLEARS 2FMVP
366,1310917,1310.917,39327,Sweep
367,1312762,1312.762,39382,Warriors in 5
368,1319717,1319.717,39591,I heard Gianni’s wants to come to la
369,1322608,1322.608,39678,@shayaanshah exactly that's so so true
370,1333795,1333.795,40013,LEBRON GOAT
371,1336035,1336.035,40081,love from india from kerala by Asim
372,1337095,1337.095,40112,Giannis finna pull up to la its over brodie
373,1337647,1337.647,40129,LeMickey
374,1338014,1338.014,40140,@mahomes are u Lakers fan?
375,1343790,1343.79,40313,lebron the goat onb
376,1347860,1347.86,40435,where curry
377,1349570,1349.57,40487,Who in class ran
378,1350523,1350.523,40515,ùadad
379,1350940,1350.94,40528,d
380,1351143,1351.143,40534,d
381,1351360,1351.36,40540,d
382,1351760,1351.76,40552,d
383,1351777,1351.777,40553,warriors are so bad now Lakers really exposed how overrated they are
384,1351969,1351.969,40559,d
385,1358916,1358.916,40767,rbron gora
386,1359518,1359.518,40785,curry stay being a bum
387,1361587,1361.587,40847,hello
388,1365564,1365.564,40966,lal
389,1365895,1365.895,40976,Heat in 5
390,1368299,1368.299,41048,lakers in 6
391,1371681,1371.681,41150,Giannis is a bum
392,1378352,1378.352,41350,Mavs in 0
393,1379091,1379.091,41372,@mahomes 15 what’s ur fav team?
394,1388647,1388.647,41659,"Lakers, Nuggets, Heat, 76ers"
395,1390884,1390.884,41726,james harden go te
396,1405900,1405.9,42177,lebron goat
397,1407207,1407.207,42216,shout out poole keep shooting bozo
398,1407207,1407.207,42216,looks like the lakers is unvited anyways GS will win
399,1421511,1421.511,42645,rbron out
400,1421779,1421.779,42653,@Less S
401,1429835,1429.835,42895,Warriors will win
402,1429983,1429.983,42899,Heat vs Philly in ecf and lakers vs nuggets in wcf
403,1439598,1439.598,43187,Lebron is too old and can’t shoot
404,1446449,1446.449,43393,@DavidPlayz FAXXX BRO
405,1457710,1457.71,43731,Lebron out
406,1460688,1460.688,43820,but im gonna right back
407,1467654,1467.654,44029,@Gary Cook and ur too young to learn basketball
408,1469947,1469.947,44098,Curry by himself vs. the AD and Lebron super team
409,1470462,1470.462,44113,Warriors
410,1474668,1474.668,44240,Puttin that one on gooood -
411,1489331,1489.331,44679,who has the best chance of winning this game
412,1493679,1493.679,44810,rebron out
413,1498286,1498.286,44948,lakers win
414,1500521,1500.521,45015,huwaw
415,1500947,1500.947,45028,lmao I’m joking do u not know what happens later in this game
416,1501286,1501.286,45038,warriors would be the 11th seed without illegal screens
417,1506263,1506.263,45187,LEBRUH WILL FINISHED TONIGHT
418,1512364,1512.364,45370,The current warriors are just the last years heat. Carried by their star and bench does nothing
419,1533142,1533.142,45994,@Less S true that
420,1535757,1535.757,46072,its the 2021 play in tornament
421,1536355,1536.355,46090,warriors win easy
422,1540805,1540.805,46224,in the bubble
423,1554447,1554.447,46633,loony looks 20 years younger lmao
424,1561481,1561.481,46844,crazy
425,1567485,1567.485,47024,remember when Trez was good
426,1569382,1569.382,47081,REPÚBLICA DOMINICANA
427,1586478,1586.478,47594,"kings would've defeated over proud gsw, they just got lucky"
428,1608127,1608.127,48243,I’m a heat fan
429,1609138,1609.138,48274,Lakers are beating these frauds in 6
430,1611295,1611.295,48338,Naah Sid
431,1616923,1616.923,48507,wsp good morning
432,1622153,1622.153,48664,lakers beating warriors easily
433,1633643,1633.643,49009,Heat>Knicks
434,1646267,1646.267,49388,Heat Vs Celtics Rematch
435,1647863,1647.863,49435,REPÚBLICA DOMINICANA
436,1649553,1649.553,49486,This series going to game 7
437,1655075,1655.075,49652,Caruso probably the best defender of that season
438,1655380,1655.38,49661,THT
439,1681123,1681.123,50433,Thiss looks like season 1 of fortnite
440,1684475,1684.475,50534,so old
441,1692262,1692.262,50767,"STEPHEN A SAYS ""WHAT PLAY-IN GAME"""
442,1696436,1696.436,50893,im back
443,1696644,1696.644,50899,I feel bad for the Clippers
444,1706823,1706.823,51204,hello
445,1726793,1726.793,51803,Bron
446,1733986,1733.986,52019,That warriors kit
447,1742728,1742.728,52281,Lakers vs Heat finals
448,1747788,1747.788,52433,"embeid sells against the Celtics yearly, they know how to defend him best"
449,1748173,1748.173,52445,curry be strong and fighter and win this game lets go
450,1752569,1752.569,52577,oh this is when LeBron won the bubble gum Disneyland ring
451,1774521,1774.521,53235,lakers vs Celtics final
452,1775675,1775.675,53270,LeMickey
453,1776201,1776.201,53286,when do they 2016 finals game 1 to game 7
454,1798828,1798.828,53964,it is lagging on me is it to you to?
455,1809368,1809.368,54281,"Laggin on you fam, we good"
456,1813328,1813.328,54399,Heat Celtics finals
457,1829502,1829.502,54885,reggie is prolly the best commentator according to me
458,1854984,1854.984,55649,tyler herro will come back for heat vs celtics
459,1855801,1855.801,55674,how can heat and celtics play finals they're on the same conference lol
460,1859183,1859.183,55775,vihann shetty... where you from?
461,1870269,1870.269,56108,"Man that '21 Lakers was so agile and energetic, crazy how they had guys like Kuzma in there"
462,1870622,1870.622,56118,When Stephanie couldn't get his team into the playoffs
463,1896536,1896.536,56896,Nah Warriors Celtics in the finals
464,1900620,1900.62,57018,Lebron prolly kicked him outta there cuz of his beautiful fashion sense :rofl
465,1949602,1949.602,58488,Crasins
466,1950711,1950.711,58521,celtics will sweep the warriors
467,1952274,1952.274,58568,caca&
468,1967482,1967.482,59024,Nah Shai is the most drippy    in the league
469,1969425,1969.425,59082,76
470,1972287,1972.287,59168,Warriors v Celtics Finals. Warriors in 7
471,1977147,1977.147,59314,@Siddharth Facts
472,1981980,1981.98,59459,sixers
473,1988386,1988.386,59651,Warriors won’t make it to the finals
474,1992795,1992.795,59783,sixers win
475,1999965,1999.965,59998,Celtics can’t beat the Warriors
476,2016682,2016.682,60500,Yeah but we don’t gotta worry if they don’t get to the finals lmao
477,2031548,2031.548,60946,sixers
478,2042838,2042.838,61285,Nah Warriors gon win Game 2 vs the Lakers
479,2053212,2053.212,61596,And then Warriors in 7 clinch the series
480,2077334,2077.334,62320,play in Bron
481,2081085,2081.085,62432,こんばんわ
482,2087326,2087.326,62619,Schroder: The German God
483,2096065,2096.065,62881,Winners of Warriors v Lakers play the winners of Suns v Nuggets right?
484,2106762,2106.762,63202,hi
485,2108395,2108.395,63251,yup
486,2115142,2115.142,63454,Ah aight
487,2119489,2119.489,63584,Nuggets Vs Warriors
488,2123432,2123.432,63702,Celtics vs Heat
489,2123613,2123.613,63708,nba and hip hop = one love)
490,2134307,2134.307,64029,Where do you think Dillon Brooks is headed?
491,2140927,2140.927,64227,China?
492,2155067,2155.067,64652,Shanghai sharks
493,2157143,2157.143,64714,Nah not this game
494,2158277,2158.277,64748,>
495,2170183,2170.183,65105,PJ tucker going straight to China
496,2180402,2180.402,65412,ne hao
497,2204743,2204.743,66142,shut up PJ Tucker is a great defender
498,2214059,2214.059,66421,76ers got no bench gods except Paul reed and Maxey
499,2214375,2214.375,66431,Brooks brought everything on himself lmao
500,2219641,2219.641,66589,He didn't have to get beefy
501,2231991,2231.991,66959,Nothing
502,2247181,2247.181,67415,Only hope for 76ers is for Harden to pull up performances like that Game
503,2248030,2248.03,67440,1
504,2262420,2262.42,67872,It’s pretty much their only shot
505,2262473,2262.473,67874,curry will clap the lakers
506,2279458,2279.458,68383,warriors will win in game 7
507,2287509,2287.509,68625,Davis is lazy
508,2287808,2287.808,68634,Embiid too caught up in MVP celebrations lol
509,2297803,2297.803,68934,PJ’s best days are long gone    idk what team would want that man
510,2303689,2303.689,69110,Warriors are winning game 2
511,2306386,2306.386,69191,In their right mind
512,2315961,2315.961,69478,lakers in 7
513,2316918,2316.918,69507,Go! go! go! Lakers
514,2321849,2321.849,69655,GS fans
515,2322055,2322.055,69661,yes warriors are winning today
516,2327416,2327.416,69822,yess
517,2329491,2329.491,69884,Lakers in 4
518,2332550,2332.55,69976,im a gs fan
519,2333910,2333.91,70017,What u guys think about Brooks? Shanghai Sharks or he still got a shot in the NBA?
520,2341295,2341.295,70238,@Siddharth Lmao what u smokimg
521,2346154,2346.154,70384,Leshit
522,2350090,2350.09,70502,Brooks to the Thunder
523,2355765,2355.765,70672,im a lakers fan
524,2361480,2361.48,70844,he'll be in the leauge hes a good defender
525,2361753,2361.753,70852,warriors in 7 i think
526,2366289,2366.289,70988,why are u so triggered?
527,2387140,2387.14,71614,Knicks tape
528,2388523,2388.523,71655,what do you thing guys i think warriors are going to win in game 7
529,2389280,2389.28,71678,не слово по русски
530,2392165,2392.165,71764,@Siddharth Clearly looks like you're a lakers fan
531,2396506,2396.506,71895,Because u like PJ tucker
532,2402546,2402.546,72076,Yeah Warriors in 7
533,2403714,2403.714,72111,Lebron james
534,2405230,2405.23,72156,lakers in 4 sidd
535,2405285,2405.285,72158,U no comprende?
536,2406632,2406.632,72198,Instant ref job in favor of the lakers
537,2409989,2409.989,72299,@CTG Cement
538,2415504,2415.504,72465,lets go lakers!!!!!!!!!!
539,2425476,2425.476,72764,why are they premiering a 2 year old game
540,2425833,2425.833,72774,Warriors quit hating on curry u hater fans or is it Laker with that HIV magic right
541,2433719,2433.719,73011,bron was focused this whole series
542,2435126,2435.126,73053,everybody already knows what happens in this game
543,2437715,2437.715,73131,"yup i am. Even my parents support lakers, my grandparents did that too"
544,2448048,2448.048,73441,Que Ganen Los Lakers
545,2452975,2452.975,73589,@TheWizardGuy Nah they playing this to the refs to show them how to officiate and let the lakers win today
546,2458898,2458.898,73766,curry is the best point guard and lakers is the goat
547,2460222,2460.222,73806,curry for winnnn bangg
548,2465004,2465.004,73950,i mean lebron is the goat*
549,2473367,2473.367,74201,"back out to james , puts up a 3"
550,2477854,2477.854,74335,curry 3000 threes
551,2495879,2495.879,74876,I can see Lebron hitting a clutch 3 if this game ends up being close
552,2497389,2497.389,74921,"lebron is the goat, whoever disagrees will go to hell"
553,2500643,2500.643,75019,i miss caruso on the lakers
554,2502705,2502.705,75081,MJ the GOAT bruh what u kids doing?
555,2506072,2506.072,75182,Tu compras nu sueter Es de lakers para Los Angeles
556,2506916,2506.916,75207,Warriors are better than the Lakers
557,2512045,2512.045,75361,Magic is better then curry
558,2525703,2525.703,75771,не слово по английски
559,2531552,2531.552,75946,Mj better
560,2532363,2532.363,75970,magic way way way better than curry
561,2533303,2533.303,75999,Creep
562,2536695,2536.695,76100,I can see curry hitting a clutch three in the last second
563,2542171,2542.171,76265,how is magic better than curry?
564,2544797,2544.797,76343,"Curry best shooter oat, best pg is debatable"
565,2545065,2545.065,76351,Pre curry
566,2547565,2547.565,76426,damn curry
567,2549236,2549.236,76477,MJ BETTER
568,2550565,2550.565,76516,what i ay
569,2551462,2551.462,76543,MJ BETTER
570,2554485,2554.485,76634,Mj better
571,2555270,2555.27,76658,yall wasnt even alive to see magic play and u saying hes better
572,2555443,2555.443,76663,Ok you are on lean Sidhartha gautama
573,2558213,2558.213,76746,BANGGGGGGGGGGGGG
574,2560624,2560.624,76818,Mj better
575,2564623,2564.623,76938,Klay needs to come to the party mannn. Way too much pressure on Curry these days
576,2570896,2570.896,77126,Mj better
577,2578683,2578.683,77360,@CTG Cement Ikr
578,2580123,2580.123,77403,KUMINGA BETTER THAN LEBITCH
579,2581496,2581.496,77444,@Manmeet Singh Yep Magic is so much better then curry
580,2581594,2581.594,77447,KUMINGA BETTER THAN LEBITCH
581,2581699,2581.699,77450,Mj better
582,2582189,2582.189,77465,KUMINGA BETTER THAN LEBITCH
583,2582470,2582.47,77474,Mj better
584,2582986,2582.986,77489,KUMINGA BETTER THAN LEBITCH
585,2588085,2588.085,77642,KUMINGA BETTER THAN LEBITCH
586,2589152,2589.152,77674,KUMINGA BETTER THAN LEBITCH
587,2589748,2589.748,77692,KUMINGA BETTER THAN LEBITCH
588,2590290,2590.29,77708,KUMINGA BETTER THAN LEBITCH
589,2591137,2591.137,77734,No halftime show??
590,2593924,2593.924,77817,Yo stop the spam
591,2594230,2594.23,77826,MJ BETTER
592,2596518,2596.518,77895,Holy molybdenum
593,2599129,2599.129,77973,MJ BETTER
594,2600491,2600.491,78014,Curry at the buzzer
595,2603850,2603.85,78115,MJ BETTEE
596,2607137,2607.137,78214,KUMINGA BETTER THAN LEBITCH
597,2610123,2610.123,78303,MJ BETTA
598,2613133,2613.133,78393,We gotta beat the Lakers tonight
599,2615377,2615.377,78461,damn curry just hit a clutch three in the last second of the second quarter
600,2617523,2617.523,78525,@Flight Among Kum betta
601,2622134,2622.134,78664,ruining chat
602,2625354,2625.354,78760,@TheWizardGuy if you were to put them 1 on 1 curry would destory magic
603,2640306,2640.306,79209,Yea we gotta cut Schroeder off from going to the basket
604,2646386,2646.386,79391,why is Game 2 on already??!!
605,2651908,2651.908,79557,Dayum a lot of Indians in here. Welcome boys
606,2654718,2654.718,79641,Skip    to cuarto de cuatro
607,2656021,2656.021,79680,And Lebron is gonna find a way to get to the Beasley
608,2659030,2659.03,79770,Basket
609,2659437,2659.437,79783,"that's why i dont like warriors, look how they spam, just like a kid"
610,2666274,2666.274,79988,fans*
611,2668327,2668.327,80049,And we can’t miss wide open shots
612,2686419,2686.419,80592,Warriors in 6
613,2690547,2690.547,80716,these units were so fire
614,2692663,2692.663,80779,bro is yall forgetting magic had a top 3 player all time named kareem abdul jabbar??? if he kareem wasnt on lakers he wouldnt have 5 championships
615,2696297,2696.297,80888,I'm an Indian but i dont live in India
616,2696936,2696.936,80908,Steph 3333
617,2704511,2704.511,81135,Look at Curry man so inspirational
618,2706568,2706.568,81197,Warriors winning vs Lakers tonight
619,2709950,2709.95,81298,Suiiii
620,2712096,2712.096,81362,Poole > Jason Derulo
621,2718128,2718.128,81543,Hala Madrid Suiiii
622,2724315,2724.315,81729,A de Cristiano
623,2729378,2729.378,81881,KUMINGA BETTER THAN LEBITCH
624,2729459,2729.459,81883,We need to slow down as well we be rushing layups
625,2730185,2730.185,81905,KUMINGA BETTER THAN LEBITCH
626,2731118,2731.118,81933,KUMINGA BETTER THAN LEBITCH
627,2731879,2731.879,81956,KUMINGA BETTER THAN LEBITCH
628,2733131,2733.131,81993,KUMINGA BETTER THAN LEBITCH
629,2733954,2733.954,82018,Goool de Cristianoooooooooooooooooooooooooooooooooooooo
630,2736902,2736.902,82107,Jordan Poole can’t sell either
631,2737023,2737.023,82110,They wont beat Lakers Chucking 3s. Lets go Lakers!!!!!
632,2737277,2737.277,82118,Petros Mantalos > MJ
633,2739874,2739.874,82196,Lmao that Poole shot from the basement last match
634,2772955,2772.955,83188,again a warrior fam spamming like a kid
635,2777276,2777.276,83318,fan*
636,2793857,2793.857,83815,Lakers 103 - 100 Warriors
637,2799434,2799.434,83983,@Siddharth cry tubs
638,2812902,2812.902,84387,no spoilers please
639,2820622,2820.622,84618,"2016 Finals tho, still one of the best all time"
640,2823154,2823.154,84694,why would i cry? we are up 1-0 lmaooo
641,2840266,2840.266,85207,The Warriors just should have won 2016
642,2844922,2844.922,85347,Not for long
643,2848855,2848.855,85465,Lakers in Fahivvveee
644,2850004,2850.004,85500,not for long
645,2858426,2858.426,85752,we winning tongiht
646,2858870,2858.87,85766,Warriors winning tonight
647,2864158,2864.158,85924,You wait
648,2871137,2871.137,86134,Lakers winning in 5 games in the current series
649,2874807,2874.807,86244,Curry gonna have a great game
650,2880437,2880.437,86413,Waiiiiiit Drummond was wit the Lakers in 2021???
651,2884529,2884.529,86535,Jordan Poole can’t sell us tho
652,2887535,2887.535,86626,"you all just know how to trash talk, i bet you all will lose tonight as well"
653,2901443,2901.443,87043,how much u wanna bet…lakers deff winning
654,2904599,2904.599,87137,Yea Drummond was with the lakers in ‘21
655,2914575,2914.575,87437,Lakers ain’t winning boi
656,2921348,2921.348,87640,.
657,2927355,2927.355,87820,@Siddharth Lol youre telling that the Warriors fans are trashtalking. Meanwhile youu talking smack.
658,2932747,2932.747,87982,we already winning
659,2933648,2933.648,88009,Dubs in 6 or 7
660,2934887,2934.887,88046,Lakers winning tonight
661,2935263,2935.263,88057,@SidDHarth we ain’t losing
662,2940768,2940.768,88223,hi everyone
663,2945319,2945.319,88359,これってレギュラーシーズン？
664,2953180,2953.18,88595,Lol warriors fans just keep showing their non existent basketball knowledge
665,2954667,2954.667,88640,Lakers winning by 15 tonight remember that
666,2963361,2963.361,88900,2021 のプレーインよ
667,2964594,2964.594,88937,Aiiight imma dip see ya later. Warriors in 6 btw. Peace
668,2967712,2967.712,89031,Dubs in 6
669,2967784,2967.784,89033,They might get swept warriors
670,2969035,2969.035,89071,yall already losing….we up 1-0
671,2974798,2974.798,89243,"@Vihaan Shetty I didn't, when did i? i am just supporting my team"
672,2992266,2992.266,89767,wow.
673,3008573,3008.573,90257,You get so cocky about one damn win
674,3014249,3014.249,90427,The series ain’t over yet
675,3017662,3017.662,90529,ありがとう
676,3019393,3019.393,90581,Dubs in 2
677,3023057,3023.057,90691,lol
678,3030335,3030.335,90910,lakers in 4
679,3038224,3038.224,91146,I wish we could win in 2
680,3050773,3050.773,91523,travel
681,3051341,3051.341,91540,Lakers winning it in 5 games yall don’t get too hype
682,3052862,3052.862,91585,jared locking up curry again
683,3063711,3063.711,91911,These laker fans prob didn’t see the Kings and how we demolished them
684,3066239,3066.239,91987,Curry owns Lebron lol
685,3082742,3082.742,92482,demolished?
686,3083238,3083.238,92497,@Brad Vino I don’t think so Warriors in 6
687,3088297,3088.297,92648,Golden State in 4
688,3089709,3089.709,92691,if Ad drops 30 pts and 20 rebounds per game warriors have no chance
689,3102070,3102.07,93062,lol so you'll compare kings with lakers lol bruh
690,3110403,3110.403,93312,@RGS yes demolishes
691,3117700,3117.7,93531,AD one step away fro getting hurt lets be real
692,3121199,3121.199,93635,Lakers are too big for them
693,3125432,3125.432,93762,Kings and the lakers play the same way
694,3134714,3134.714,94041,"one guy really said ""warriors in 4"""
695,3139550,3139.55,94186,since when does lebron win game 1 against curry and lose the series I’ll wait!!!!
696,3141309,3141.309,94239,Fax AD gon prob get hurt again
697,3159480,3159.48,94784,@Dontez Bryant yall went 7 games vs kings talking bout demolished
698,3166734,3166.734,95002,Nope I said Golden State in 4
699,3181795,3181.795,95453,same thing
700,3186140,3186.14,95584,@RGS so what we killed them in that game
701,3188620,3188.62,95658,wow
702,3191834,3191.834,95755,Is this live?thak you NBA.
703,3210056,3210.056,96301,who won
704,3216098,3216.098,96482,Kent Bazemore is ready if needed
705,3230870,3230.87,96926,"@Dontez Bryant ""killed them"" in game 7"
706,3234340,3234.34,97030,Why did we trade Basemore away
707,3234841,3234.841,97045,My prediction is klay goes off Warriors win in OT
708,3247808,3247.808,97434,Lakers in 5 y’all
709,3257625,3257.625,97728,Bazemore sucked lol
710,3260831,3260.831,97824,Go La
711,3265085,3265.085,97952,@RGS we destroyed them in the third quarter
712,3268506,3268.506,98055,"i miss india now, wanna go to my home"
713,3271007,3271.007,98130,help me out when has lebron won game 1 against curry and lost the series????
714,3300688,3300.688,99020,"My prediction is Klay goes off, Steph goes off... Lakers 115 - Warriors 93"
715,3303705,3303.705,99111,He about to watch
716,3320702,3320.702,99621,@Dontez Bryant if curry didnt drop 50 yall would've went to Cancun
717,3321909,3321.909,99657,@Chris your prediction gon be wrong
718,3328820,3328.82,99864,lol dats all u got dontez??? lol
719,3343102,3343.102,100293,Lakers gonna win again on the road
720,3372718,3372.718,101181,If the Warriors lose tonight then get the brooms out!
721,3373325,3373.325,101199,"Yo yo guys chill, don't bully the kid like that lads. Let's just see the result of the match. Coming from a Warriors fan btw"
722,3374458,3374.458,101233,"if AD plays like this again the Warriors wont have a chance, especially if LeBron finds his rhythm"
723,3391531,3391.531,101745,lakers needa win game 2 and it's done for gsw
724,3412044,3412.044,102361,@RGS facts
725,3416703,3416.703,102501,Lakers winning tonight YESSIR!
726,3427220,3427.22,102816,el drako
727,3441942,3441.942,103258,Lmaoooooo look at Drake and Michael B
728,3458091,3458.091,103742,good lal
729,3479263,3479.263,104377,Crazy part james doesnt need to go for 30+ no more. and i luv it!!! its about time!!!
730,3483158,3483.158,104494,damn AD struggled this game
731,3483815,3483.815,104514,Nah Warriors winning game 2
732,3489799,3489.799,104693,3-15!? damn
733,3497170,3497.17,104915,Lakers in 6!!!!!
734,3497770,3497.77,104933,Lakers in 6
735,3505903,3505.903,105177,lakers win
736,3510236,3510.236,105307,embiid = fake mvp
737,3520697,3520.697,105620,Warriors in 6
738,3524906,3524.906,105747,gsw winning 1-2 games not more
739,3549621,3549.621,106488,i miss KCP on the lakers mann
740,3551263,3551.263,106537,real mvp = curry
741,3554052,3554.052,106621,Warriors going down 2-0 2nite
742,3557467,3557.467,106724,Warriors in 6
743,3564579,3564.579,106937,lebron beating curry with only avg 22ppg will be the real story!!!!
744,3566419,3566.419,106992,lakers should've kept KCP ngl
745,3569548,3569.548,107086,Warriors tying series 1-1
746,3570752,3570.752,107122,I've always remembered this match
747,3570878,3570.878,107126,Lakers in 4 could happen and A.D and LeBron have been Steppin it up..
748,3577163,3577.163,107314,some guy saying real mvp=curry lmaooo
749,3586723,3586.723,107601,HELLL NO
750,3587485,3587.485,107624,Brb
751,3589680,3589.68,107690,L
752,3590740,3590.74,107722,Curry is not Mvp
753,3590957,3590.957,107728,Curry is the MVP
754,3593588,3593.588,107807,U wish dontez they can’t stop AD
755,3595269,3595.269,107858,where is kyrie?
756,3595961,3595.961,107878,Let golden state have one of those ugly games Lakers gonna be rebounding hitting the paint its a done deal
757,3597882,3597.882,107936,Yes he is
758,3599999,3599.999,107999,"never in my life, i laughed that hard"
759,3602995,3602.995,108089,I'd love to see the Lakers sweep the Warriors and get them up outta here right quick
760,3615493,3615.493,108464,Curry>Lebitch James
761,3616661,3616.661,108499,Me 2
762,3626662,3626.662,108799,Austin Reaves MVP
763,3628142,3628.142,108844,Prefer giving MVP to De'Aaron Fox
764,3628841,3628.841,108865,REAL MVP = CURRY
765,3638108,3638.108,109143,@Td jones not happening
766,3639368,3639.368,109181,u cant be an mvp and be less then 3rd seed
767,3645330,3645.33,109359,Prefer giving MVP to De'Aaron Fox than Steph Curry
768,3647671,3647.671,109430,Curry is the MVP
769,3660344,3660.344,109810,Brodie enters the chat
770,3660906,3660.906,109827,@Kevin Rojas Fox is ass
771,3663363,3663.363,109900,NO F
772,3670801,3670.801,110124,he didn't even win the MVP
773,3674743,3674.743,110242,Curry can't close games.
774,3682284,3682.284,110468,lebron ahead of curry in all accolades. no comparison between bron and curry lol
775,3691803,3691.803,110754,facts
776,3693311,3693.311,110799,the king's back
777,3694447,3694.447,110833,Is this now
778,3697464,3697.464,110923,curry scored 50 points in the playoffs
779,3697641,3697.641,110929,"Klay ain't the same, he'll be back to shooting bricks."
780,3697692,3697.692,110930,Loki
781,3699135,3699.135,110974,@Td Jones yes he can
782,3700620,3700.62,111018,bron
783,3714124,3714.124,111423,curry is the new goat
