,offset_ms,offset_sec,frame_idx,text
1332,5255134,5255.134,157654,BAAAANNNGGGG
1333,5258084,5258.084,157742,LeForever
1334,5260672,5260.672,157820,LEGAY
1335,5261295,5261.295,157838,Curchoke
1336,5265364,5265.364,157960,LeCLUTCH
1337,5266867,5266.867,158006,LeGay
1338,5268420,5268.42,158052,Curry fans in shambles watching them lose
1339,5269588,5269.588,158087,bang
1340,5270824,5270.824,158124,LeBestPlayerEver
1341,5271340,5271.34,158140,look at curry looking to chuck a three…eff outta here!!!!
1342,5272006,5272.006,158160,LEGAY
1343,5272221,5272.221,158166,goat
1344,5272798,5272.798,158183,poole aint clutch
1345,5272803,5272.803,158184,Legoat
1346,5273188,5273.188,158195,Splash nephew
1347,5274006,5274.006,158220,Lakers lead!!!
1348,5274216,5274.216,158226,LeDagger
1349,5274494,5274.494,158234,LeNo
1350,5276283,5276.283,158288,It was a foul
1351,5280441,5280.441,158413,LEGAY
1352,5282726,5282.726,158481,WHAT HAPPENED WARRIORS FANS
1353,5284697,5284.697,158540,Foul
1354,5285304,5285.304,158559,LEGAY
1355,5285594,5285.594,158567,wow poole been missing clutch shots
1356,5291327,5291.327,158739,Curchoke
1357,5292970,5292.97,158789,LeHIM
1358,5299882,5299.882,158996,Klay woulda made that
1359,5300011,5300.011,159000,lebum
1360,5302065,5302.065,159061,curry on lock…hahahaha
1361,5311618,5311.618,159348,LEGAY
1362,5313559,5313.559,159406,Lmaoooo was gonna be an air ball by Wiggins
1363,5316006,5316.006,159480,Imagine curry surpassing kobe with five rings curry = new goat
1364,5317339,5317.339,159520,Le3Rims owns Curry
1365,5318568,5318.568,159557,No Help
1366,5318632,5318.632,159558,It’s not happening tonight
1367,5323314,5323.314,159699,kerr shouldve called T earlier
1368,5325054,5325.054,159751,LEGAY
1369,5325607,5325.607,159768,LeICantSee
1370,5328301,5328.301,159849,oh yeaaa that by curry locked in
1371,5330071,5330.071,159902,ngl curry had no help
1372,5337285,5337.285,160118,LEGOAT owns Curru
1373,5339201,5339.201,160176,"Jordan ""The New JR Smith"" Poole"
1374,5339817,5339.817,160194,LeCLUTCH
1375,5340591,5340.591,160217,Lucky ahh 3
1376,5340598,5340.598,160217,@Dontez bryant what happened bandwagon
1377,5345367,5345.367,160361,Over curry too
1378,5354800,5354.8,160644,curry vs lakers
1379,5356151,5356.151,160684,On Currys head top
1380,5358072,5358.072,160742,LEGAY
1381,5358307,5358.307,160749,That was a lucky shot by LeBron
1382,5359217,5359.217,160776,damn..
1383,5359397,5359.397,160781,LAKERS OWN THE WARRIORS
1384,5359659,5359.659,160789,One eyed 3
1385,5365173,5365.173,160955,@EasyMoneySniper this game already happened they not doing that tonight
1386,5367510,5367.51,161025,look him in tha eyes
1387,5368525,5368.525,161055,"""I can't even see"""
1388,5370576,5370.576,161117,Cal
1389,5372389,5372.389,161171,legoat
1390,5373242,5373.242,161197,He needs LeGoggles
1391,5373531,5373.531,161205,LEGAY
1392,5375269,5375.269,161258,Hahahaaha
1393,5375995,5375.995,161279,he couldnt even see..u heard him curry!! lets goooooo
1394,5376425,5376.425,161292,Warriors own Lakers
1395,5380868,5380.868,161426,Lego at
1396,5381687,5381.687,161450,LEGAY
1397,5381698,5381.698,161450,LeClutch
1398,5383639,5383.639,161509,goat
1399,5388281,5388.281,161648,LEGAY
1400,5388516,5388.516,161655,Legoat
1401,5388735,5388.735,161662,Legoat
1402,5391243,5391.243,161737,I remember this game
1403,5393177,5393.177,161795,LeBlurry
1404,5396458,5396.458,161893,Curry can’t be clutch like Bron lol. He can’t even get open in the clutch
1405,5397261,5397.261,161917,LEGAY
1406,5398264,5398.264,161947,legoat yessssssssir
1407,5400047,5400.047,162001,Warriors are a small franchise
1408,5400136,5400.136,162004,Lebetter than curry teash
1409,5400221,5400.221,162006,@Dontez Bryant you just speaking nonsense.
1410,5400585,5400.585,162017,LeGay
1411,5403488,5403.488,162104,LEGAY
1412,5407357,5407.357,162220,AD steal
1413,5407578,5407.578,162227,XDDDD
1414,5408216,5408.216,162246,3k viewers grand final basketball game LMAOOOOO
1415,5410402,5410.402,162312,Game over
1416,5411072,5411.072,162332,CURCHOKE
1417,5412754,5412.754,162382,LEGOAT
1418,5413795,5413.795,162413,LeCLUTCH
1419,5416637,5416.637,162499,HAHA
1420,5417808,5417.808,162534,LECLUTCH
1421,5419486,5419.486,162584,LEGOAT
1422,5419914,5419.914,162597,noooooooooooooooooooo niggaù
1423,5420159,5420.159,162604,@Dontez Bryant is the biggest curry meat glazzer
1424,5421437,5421.437,162643,Gg Lakers You won the game
1425,5422393,5422.393,162671,LECLUTCH
1426,5424521,5424.521,162735,LECLUTCH
1427,5424782,5424.782,162743,Bye Bye
1428,5424817,5424.817,162744,LeKing
1429,5424855,5424.855,162745,le it dont matter because BUCKS IN 6
1430,5425352,5425.352,162760,LEHATERS CRYING AGAIN
1431,5425967,5425.967,162779,LeMadeDaPlayoffs
1432,5426216,5426.216,162786,Yes Lakers
1433,5427054,5427.054,162811,CURCHOKE
1434,5428822,5428.822,162864,Lethreee
1435,5429995,5429.995,162899,Just like Lakers in 6 in 2023
1436,5433785,5433.785,163013,@NJ2K21 I’m not you a Lakers fan and we better Warriors in 6
1437,5434364,5434.364,163030,LECLUTCH
1438,5436784,5436.784,163103,LEGOAT
1439,5438715,5438.715,163161,LeGoat
1440,5440129,5440.129,163203,LEGOAT
1441,5442265,5442.265,163267,Stephen queery
1442,5442509,5442.509,163275,MAN BRO
1443,5443205,5443.205,163296,レブロン
1444,5448854,5448.854,163465,Le injured
1445,5450100,5450.1,163503,Curry choked lol can’t even catch
1446,5451766,5451.766,163552,"Gsw Win against lebron in 15,17 and 18 and that wont happen again this series"
1447,5451808,5451.808,163554,LAKERS IN 5
1448,5453352,5453.352,163600,LeThreeRims
1449,5453398,5453.398,163601,BYE BYE CURRY
1450,5454517,5454.517,163635,imma give him lebackshots
1451,5455689,5455.689,163670,LeNBA
1452,5455855,5455.855,163675,Jordan Poole been on his choking behavior for years now lol
1453,5456993,5456.993,163709,I love LA!
1454,5458800,5458.8,163764,what year was this?
1455,5467133,5467.133,164013,2021 @Dhruva Panyam
1456,5468689,5468.689,164060,oloko
1457,5469482,5469.482,164084,I love LA!!!
1458,5470290,5470.29,164108,They lost against grizzlies
1459,5470909,5470.909,164127,Curry not worried abt his bum self
1460,5472000,5472.0,164160,ty!
1461,5473126,5473.126,164193,2021 playin
1462,5475354,5475.354,164260,"@Dontez Bryant im no lakers fan, im a bron fan. wherever he goes, i go"
1463,5476163,5476.163,164284,Curry choking like always
1464,5484661,5484.661,164539,is this the ;layoff?
1465,5485562,5485.562,164566,Ja morant
1466,5486042,5486.042,164581,poole is annoying af
1467,5491905,5491.905,164757,BRB
1468,5494502,5494.502,164835,wait when was this?
1469,5495681,5495.681,164870,@NJ2K21 yeah you’re the real bandwagon
1470,5496147,5496.147,164884,Poole sucks
1471,5499024,5499.024,164970,LeStoryTeller
1472,5508540,5508.54,165256,pls someone tell me when this was?
1473,5515840,5515.84,165475,@Dontez Bryant ong i can tell you're a casual
1474,5515862,5515.862,165475,what year?
1475,5518042,5518.042,165541,Rachel gonna meet jimmy after
1476,5523515,5523.515,165705,LEFLOP
1477,5525429,5525.429,165762,2021
1478,5530455,5530.455,165913,I hit dat
1479,5531080,5531.08,165932,ok
1480,5532472,5532.472,165974,ty
1481,5535262,5535.262,166057,I hit dat
1482,5536191,5536.191,166085,Poole does not suck
1483,5542178,5542.178,166265,lebron
1484,5546397,5546.397,166391,Goat James
1485,5549336,5549.336,166480,LEFLOP
1486,5549967,5549.967,166499,LEFLOP
1487,5550646,5550.646,166519,LEFLOP
1488,5551288,5551.288,166538,LEFLOP
1489,5551362,5551.362,166540,Poole is dropping 30 toninght
