quarter,time,team,action,points,score,frame_id
1,3:28.0,golden_state,J. Toscano-Anderson misses 3-pt jump shot from 23 ft,,20-16,
1,3:25.0,la_lakers,Defensive rebound by K. Caldwell-Pope,,20-16,
1,3:06.0,la_lakers,A. Davis misses 2-pt jump shot from 15 ft,,20-16,
1,3:03.0,golden_state,Defensive rebound by J. Toscano-Anderson,,20-16,
1,2:53.0,golden_state,Turnover by S. Curry (lost ball; steal by K. Kuzma),,20-16,
1,2:49.0,la_lakers,A. Caruso makes 2-pt layup from 2 ft (assist by K. Kuzma),+2,20-18,
1,2:23.0,golden_state,S. Curry misses 2-pt jump shot from 17 ft,,20-18,
1,2:23.0,la_lakers,Defensive rebound by K. Kuzma,,20-18,
1,2:15.0,la_lakers,K. Kuzma misses 3-pt jump shot from 25 ft,,20-18,
1,2:15.0,la_lakers,Offensive rebound by Team,,20-18,
1,2:13.0,golden_state,Loose ball foul by M. Mulder (drawn by M. Harrell),,20-18,
1,2:13.0,la_lakers,D. Schröder enters the game for K. Caldwell-Pope,,20-18,
1,2:13.0,golden_state,Technical foul by D. Green,,20-18,
1,2:13.0,la_lakers,A. Davis makes technical free throw,+1,20-19,
1,2:13.0,golden_state,A. Wiggins enters the game for K. Bazemore,,20-19,
1,2:04.0,la_lakers,Turnover by A. Caruso (bad pass),,20-19,
1,1:49.0,golden_state,M. Mulder makes 2-pt dunk from 1 ft (assist by D. Green),+2,22-19,
1,1:37.0,la_lakers,A. Davis misses 2-pt jump shot from 15 ft,,22-19,
1,1:35.0,golden_state,Defensive rebound by S. Curry,,22-19,
1,1:31.0,golden_state,S. Curry misses 3-pt jump shot from 34 ft,,22-19,
1,1:28.0,la_lakers,Defensive rebound by A. Davis,,22-19,
1,1:16.0,la_lakers,M. Harrell misses 2-pt hook shot from 5 ft,,22-19,
1,1:10.0,la_lakers,Offensive rebound by K. Kuzma,,22-19,
1,1:09.0,la_lakers,D. Schröder misses 3-pt jump shot from 26 ft,,22-19,
1,1:04.0,golden_state,Defensive rebound by S. Curry,,22-19,
1,1:02.0,golden_state,S. Curry makes 2-pt layup from 2 ft,+2,24-19,
1,1:02.0,golden_state,Shooting foul by K. Kuzma (drawn by S. Curry),,24-19,
1,1:02.0,golden_state,S. Curry makes free throw 1 of 1,+1,25-19,
1,0:55.0,la_lakers,A. Davis makes 2-pt jump shot from 12 ft (assist by D. Schröder),+2,25-21,
1,0:46.0,golden_state,J. Toscano-Anderson makes 3-pt jump shot from 25 ft (assist by S. Curry),+3,28-21,
1,0:32.0,la_lakers,D. Schröder misses 2-pt jump shot from 12 ft (block by M. Mulder),,28-21,
1,0:30.0,golden_state,Defensive rebound by M. Mulder,,28-21,
1,0:30.0,golden_state,Turnover by M. Mulder (bad pass; steal by M. Harrell),,28-21,
1,0:30.0,la_lakers,Shooting foul by J. Toscano-Anderson (drawn by M. Harrell),,28-21,
1,0:30.0,la_lakers,M. Harrell makes free throw 1 of 2,+1,28-22,
1,0:30.0,golden_state,K. Looney enters the game for J. Toscano-Anderson,,28-22,
1,0:30.0,la_lakers,M. Harrell misses free throw 2 of 2,,28-22,
1,0:27.0,golden_state,Defensive rebound by K. Looney,,28-22,
1,0:07.0,golden_state,A. Wiggins misses 3-pt jump shot from 23 ft,,28-22,
1,0:04.0,la_lakers,Defensive rebound by D. Schröder,,28-22,
1,0:01.0,la_lakers,A. Davis misses 3-pt jump shot from 26 ft,,28-22,
1,0:00.0,la_lakers,Offensive rebound by Team,,28-22,
1,0:00.0,golden_state,End of 1st quarter,,,
2,12:00.0,golden_state,Start of 2nd quarter,,,
2,11:46.0,golden_state,Turnover by J. Toscano-Anderson (bad pass; steal by T. Horton-Tucker),,28-22,
2,11:30.0,la_lakers,T. Horton-Tucker makes 3-pt jump shot from 25 ft (assist by L. James),+3,28-25,
2,11:13.0,golden_state,J. Poole misses 2-pt jump shot from 7 ft,,28-25,
2,11:09.0,golden_state,Offensive rebound by K. Looney,,28-25,
2,11:09.0,golden_state,K. Looney misses 2-pt layup at rim,,28-25,
2,11:09.0,la_lakers,Defensive rebound by M. Harrell,,28-25,
2,11:03.0,la_lakers,L. James misses 2-pt layup from 4 ft,,28-25,
2,11:00.0,golden_state,Defensive rebound by K. Looney,,28-25,
2,10:49.0,golden_state,M. Mulder makes 3-pt jump shot from 24 ft (assist by J. Toscano-Anderson),+3,31-25,
2,10:34.0,la_lakers,D. Schröder misses 2-pt layup from 3 ft,,31-25,
2,10:31.0,golden_state,Defensive rebound by K. Looney,,31-25,
2,10:16.0,golden_state,J. Toscano-Anderson misses 3-pt jump shot from 25 ft,,31-25,
2,10:13.0,golden_state,Offensive rebound by K. Looney,,31-25,
2,10:11.0,golden_state,M. Mulder misses 3-pt jump shot from 26 ft,,31-25,
2,10:05.0,la_lakers,Defensive rebound by M. Harrell,,31-25,
2,9:54.0,la_lakers,D. Schröder misses 3-pt jump shot from 22 ft,,31-25,
2,9:51.0,la_lakers,Offensive rebound by D. Schröder,,31-25,
2,9:43.0,la_lakers,K. Kuzma misses 3-pt jump shot from 23 ft,,31-25,
2,9:42.0,golden_state,Defensive rebound by Team,,31-25,
2,9:27.0,golden_state,K. Looney misses 2-pt jump shot from 11 ft,,31-25,
2,9:24.0,la_lakers,Defensive rebound by L. James,,31-25,
2,9:11.0,la_lakers,Shooting foul by K. Looney (drawn by M. Harrell),,31-25,
2,9:11.0,la_lakers,M. Harrell makes free throw 1 of 2,+1,31-26,
2,9:11.0,la_lakers,A. Caruso enters the game for D. Schröder,,31-26,
2,9:11.0,la_lakers,M. Harrell misses free throw 2 of 2,,31-26,
2,9:08.0,la_lakers,Offensive rebound by K. Kuzma,,31-26,
2,8:56.0,la_lakers,Offensive foul by T. Horton-Tucker (drawn by J. Toscano-Anderson),,31-26,
2,8:56.0,la_lakers,Turnover by T. Horton-Tucker (offensive foul),,31-26,
2,8:45.0,golden_state,A. Wiggins misses 2-pt layup from 4 ft (block by A. Caruso),,31-26,
2,8:44.0,golden_state,Offensive rebound by A. Wiggins,,31-26,
2,8:44.0,golden_state,Personal foul by A. Caruso (drawn by A. Wiggins),,31-26,
