quarter,time,team,action,points,score,frame_id
3,1:05.0,la_lakers,L. James makes 3-pt jump shot from 24 ft,+3,76-73,
3,0:49.0,golden_state,Turnover by A. Wiggins (lost ball; steal by A. Caruso),,76-73,
3,0:44.0,la_lakers,A. Davis makes 2-pt dunk from 1 ft (assist by K. Kuzma),+2,76-75,
3,0:29.0,golden_state,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green),+3,79-75,
3,0:13.0,la_lakers,A. Caruso makes 2-pt layup from 1 ft (assist by L. James),+2,79-77,
3,0:01.0,golden_state,D. Green misses 2-pt jump shot from 24 ft,,79-77,
3,0:01.0,golden_state,Offensive rebound by Team,,79-77,
3,0:00.0,golden_state,End of 3rd quarter,,,
4,12:00.0,golden_state,Start of 4th quarter,,,
4,11:45.0,la_lakers,A. Davis makes 2-pt dunk from 1 ft (assist by L. James),+2,79-79,
4,11:31.0,golden_state,M. Mulder misses 3-pt jump shot from 26 ft,,79-79,
4,11:29.0,la_lakers,Defensive rebound by L. James,,79-79,
4,11:08.0,la_lakers,L. James misses 2-pt layup from 3 ft,,79-79,
4,11:08.0,la_lakers,Offensive rebound by Team,,79-79,
4,11:08.0,golden_state,D. Green enters the game for K. Looney,,79-79,
4,11:05.0,la_lakers,K. Kuzma makes 2-pt hook shot from 8 ft (assist by L. James),+2,79-81,
4,10:39.0,golden_state,Turnover by M. Mulder (lost ball; steal by A. Caruso),,79-81,
4,10:23.0,la_lakers,L. James makes 2-pt layup from 4 ft,+2,79-83,
4,10:23.0,golden_state,Golden State full timeout,,79-83,
4,10:23.0,golden_state,S. Curry enters the game for M. Mulder,,79-83,
4,10:06.0,golden_state,A. Wiggins misses 2-pt jump shot from 20 ft,,79-83,
4,10:04.0,la_lakers,Defensive rebound by L. James,,79-83,
4,9:50.0,la_lakers,L. James makes 2-pt layup from 2 ft (assist by W. Matthews),+2,79-85,
4,9:37.0,golden_state,Golden State full timeout,,79-85,
4,9:37.0,golden_state,Instant Replay (Challenge: Ruling Stands),,79-85,
4,9:37.0,golden_state,Shooting foul by L. James (drawn by J. Toscano-Anderson),,79-85,
4,9:37.0,golden_state,J. Toscano-Anderson makes free throw 1 of 2,+1,80-85,
4,9:37.0,golden_state,J. Toscano-Anderson misses free throw 2 of 2,,80-85,
4,9:35.0,la_lakers,Defensive rebound by L. James,,80-85,
4,9:23.0,la_lakers,A. Caruso misses 2-pt layup from 8 ft,,80-85,
4,9:21.0,la_lakers,Offensive rebound by A. Davis,,80-85,
4,9:20.0,la_lakers,A. Davis misses 2-pt layup from 3 ft,,80-85,
4,9:18.0,golden_state,Defensive rebound by J. Toscano-Anderson,,80-85,
4,9:03.0,golden_state,Turnover by D. Green (bad pass; steal by K. Kuzma),,80-85,
4,8:53.0,la_lakers,K. Kuzma misses 2-pt layup from 5 ft,,80-85,
4,8:51.0,golden_state,Defensive rebound by D. Green,,80-85,
4,8:48.0,golden_state,Offensive foul by A. Wiggins (drawn by W. Matthews),,80-85,
4,8:48.0,golden_state,Turnover by A. Wiggins (offensive foul),,80-85,
4,8:48.0,golden_state,M. Mulder enters the game for J. Toscano-Anderson,,80-85,
4,8:48.0,la_lakers,D. Schröder enters the game for A. Caruso,,80-85,
4,8:36.0,la_lakers,A. Davis makes 2-pt jump shot from 20 ft (assist by D. Schröder),+2,80-87,
4,8:25.0,golden_state,S. Curry makes 3-pt jump shot from 26 ft,+3,83-87,
4,7:59.0,la_lakers,K. Kuzma misses 2-pt jump shot from 11 ft,,83-87,
4,7:55.0,golden_state,Defensive rebound by D. Green,,83-87,
4,7:50.0,golden_state,S. Curry makes 2-pt layup from 4 ft,+2,85-87,
4,7:39.0,la_lakers,Personal foul by J. Poole (drawn by W. Matthews),,85-87,
4,7:29.0,la_lakers,A. Davis makes 3-pt jump shot from 26 ft (assist by L. James),+3,85-90,
4,7:17.0,golden_state,Personal foul by D. Schröder (drawn by S. Curry),,85-90,
4,7:09.0,golden_state,S. Curry misses 2-pt layup from 4 ft,,85-90,
4,7:07.0,la_lakers,Defensive rebound by D. Schröder,,85-90,
4,7:04.0,la_lakers,L. James misses 3-pt jump shot from 29 ft,,85-90,
4,7:00.0,golden_state,Defensive rebound by M. Mulder,,85-90,
4,6:56.0,golden_state,J. Poole misses 2-pt dunk from 3 ft,,85-90,
4,6:55.0,golden_state,Offensive rebound by Team,,85-90,
4,6:55.0,la_lakers,K. Caldwell-Pope enters the game for L. James,,85-90,
4,6:53.0,golden_state,A. Wiggins makes 2-pt dunk from 1 ft (assist by J. Poole),+2,87-90,
4,6:29.0,la_lakers,Turnover by D. Schröder (bad pass; steal by D. Green),,87-90,
4,6:24.0,golden_state,A. Wiggins makes 2-pt jump shot from 5 ft (assist by J. Poole),+2,89-90,
4,6:24.0,la_lakers,LA Lakers full timeout,,89-90,
4,6:11.0,la_lakers,W. Matthews misses 3-pt jump shot from 26 ft,,89-90,
4,6:08.0,golden_state,Defensive rebound by S. Curry,,89-90,
4,6:04.0,golden_state,J. Poole misses 3-pt jump shot from 22 ft,,89-90,
4,5:59.0,la_lakers,Defensive rebound by K. Kuzma,,89-90,
4,5:56.0,la_lakers,Shooting foul by A. Wiggins (drawn by D. Schröder),,89-90,
4,5:56.0,la_lakers,D. Schröder makes free throw 1 of 2,+1,89-91,
4,5:56.0,la_lakers,A. Caruso enters the game for W. Matthews,,89-91,
4,5:56.0,la_lakers,D. Schröder misses free throw 2 of 2,,89-91,
4,5:50.0,golden_state,Defensive rebound by M. Mulder,,89-91,
4,5:42.0,golden_state,A. Wiggins makes 2-pt layup from 2 ft (assist by S. Curry),+2,91-91,
4,5:42.0,golden_state,Shooting foul by K. Kuzma (drawn by A. Wiggins),,91-91,
4,5:42.0,golden_state,A. Wiggins misses free throw 1 of 1,,91-91,
4,5:40.0,la_lakers,Defensive rebound by A. Davis,,91-91,
4,5:19.0,la_lakers,D. Schröder misses 3-pt jump shot from 25 ft,,91-91,
4,5:15.0,la_lakers,Offensive rebound by A. Davis,,91-91,
4,5:14.0,la_lakers,A. Davis makes 2-pt layup from 2 ft,+2,91-93,
4,5:03.0,golden_state,S. Curry makes 2-pt layup from 4 ft,+2,93-93,
4,4:50.0,la_lakers,A. Caruso misses 2-pt layup from 3 ft,,93-93,
4,4:47.0,golden_state,Defensive rebound by S. Curry,,93-93,
4,4:43.0,golden_state,Offensive foul by D. Green (drawn by A. Davis),,93-93,
4,4:43.0,golden_state,Turnover by D. Green (offensive foul),,93-93,
4,4:43.0,la_lakers,L. James enters the game for K. Kuzma,,93-93,
4,4:27.0,la_lakers,Turnover by L. James (bad pass; steal by D. Green),,93-93,
4,4:18.0,golden_state,S. Curry misses 2-pt jump shot from 15 ft,,93-93,
4,4:16.0,la_lakers,Defensive rebound by A. Davis,,93-93,
4,4:03.0,la_lakers,D. Schröder makes 2-pt layup from 3 ft,+2,93-95,
4,3:43.0,golden_state,J. Poole makes 3-pt jump shot from 26 ft (assist by D. Green),+3,96-95,
4,3:22.0,la_lakers,D. Schröder misses 2-pt layup from 3 ft,,96-95,
4,3:20.0,golden_state,Defensive rebound by D. Green,,96-95,
4,3:08.0,golden_state,S. Curry makes 2-pt jump shot from 4 ft,+2,98-95,
4,3:08.0,la_lakers,LA Lakers full timeout,,98-95,
4,3:08.0,golden_state,K. Bazemore enters the game for M. Mulder,,98-95,
4,3:08.0,la_lakers,W. Matthews enters the game for D. Schröder,,98-95,
4,2:45.0,la_lakers,L. James misses 2-pt jump shot from 16 ft,,98-95,
4,2:43.0,la_lakers,Offensive rebound by W. Matthews,,98-95,
4,2:41.0,la_lakers,A. Caruso misses 3-pt jump shot from 23 ft,,98-95,
4,2:38.0,golden_state,Defensive rebound by K. Bazemore,,98-95,
4,2:30.0,golden_state,Turnover by S. Curry (out of bounds lost ball),,98-95,
4,2:26.0,la_lakers,Shooting foul by J. Poole (drawn by A. Davis),,98-95,
4,2:26.0,la_lakers,A. Davis makes free throw 1 of 2,+1,98-96,
4,2:26.0,la_lakers,A. Davis makes free throw 2 of 2,+1,98-97,
4,2:15.0,golden_state,S. Curry misses 2-pt jump shot from 11 ft,,98-97,
4,2:11.0,la_lakers,Defensive rebound by A. Davis,,98-97,
4,2:07.0,la_lakers,Shooting foul by D. Green (drawn by L. James),,98-97,
4,2:07.0,la_lakers,Instant Replay (Request: Ruling Stands),,98-97,
4,2:07.0,la_lakers,L. James makes free throw 1 of 2,+1,98-98,
4,2:07.0,la_lakers,L. James misses free throw 2 of 2,,98-98,
4,2:07.0,golden_state,Defensive rebound by Team,,98-98,
4,2:07.0,la_lakers,Loose ball foul by L. James (drawn by J. Poole),,98-98,
4,1:54.0,golden_state,Offensive foul by D. Green (drawn by W. Matthews),,98-98,
4,1:54.0,golden_state,Turnover by D. Green (offensive foul),,98-98,
4,1:31.0,la_lakers,A. Davis makes 2-pt dunk from 1 ft (assist by A. Caruso),+2,98-100,
4,1:23.0,golden_state,Personal foul by A. Davis (drawn by S. Curry),,98-100,
4,1:23.0,golden_state,S. Curry makes free throw 1 of 2,+1,99-100,
4,1:23.0,golden_state,S. Curry makes free throw 2 of 2,+1,100-100,
4,0:58.0,la_lakers,L. James makes 3-pt jump shot from 34 ft (assist by K. Caldwell-Pope),+3,100-103,
4,0:35.0,golden_state,J. Poole misses 3-pt jump shot from 22 ft,,100-103,
4,0:30.0,la_lakers,Defensive rebound by L. James,,100-103,
4,0:14.0,la_lakers,W. Matthews misses 3-pt jump shot from 27 ft,,100-103,
4,0:08.0,la_lakers,Offensive rebound by A. Caruso,,100-103,
4,0:08.0,la_lakers,A. Caruso misses 2-pt layup at rim,,100-103,
4,0:07.0,golden_state,Defensive rebound by D. Green,,100-103,
4,0:02.0,golden_state,Golden State full timeout,,100-103,
4,0:01.0,golden_state,Turnover by K. Bazemore (bad pass; steal by K. Caldwell-Pope),,100-103,
4,0:00.0,golden_state,End of 4th quarter,,,
