,frame_idx,x1,y1,x2,y2,confidence,class_id,class_name,cx,cy,area,dx,dy,d_area,magnitude
40,1456,608,465,640,496,0.86676633,37,sports ball,624.0,480.5,992,0.6191256191259287,0.26987526987540483,62.0,0.6753881798998167
41,1457,626,477,658,506,0.79343146,37,sports ball,642.0,491.5,928,0.5908789478687515,0.361092690364237,-64.0,0.6924780589079812
42,1458,643,487,676,519,0.83524835,37,sports ball,659.5,503.0,1056,0.5385252730345806,0.3538880365655816,128.0,0.644396005668263
43,1459,660,501,690,530,0.57621634,37,sports ball,675.0,515.5,870,0.5254992153061281,0.4237896897630065,-186.0,0.6750904579660282
44,1473,861,614,893,645,0.5562967,37,sports ball,877.0,629.5,992,6.41350641350962,3.619503619505429,122.0,7.364364939880556
45,1476,875,628,909,658,0.5542536,37,sports ball,892.0,643.0,1020,0.46966821831386213,0.4227013964824759,28.0,0.6318739636053641
46,1478,881,645,910,674,0.5905831,37,sports ball,895.5,659.5,841,0.1206896551724138,0.5689655172413793,-179.0,0.5816250963252759
47,1479,883,668,911,697,0.83421755,37,sports ball,897.0,682.5,812,0.05263968047576973,0.8071417672951359,-29.0,0.808856457273419
48,1480,881,689,911,721,0.8091577,37,sports ball,896.0,705.0,960,-0.03227486121839514,0.7261843774138906,148.0,0.7269012427191652
49,1481,880,712,909,741,0.7320389,37,sports ball,894.5,726.5,841,-0.05172413793103448,0.7413793103448276,-119.0,0.7431814504224933
50,1482,873,724,904,758,0.569098,37,sports ball,888.5,741.0,1054,-0.18481233109010925,0.44662980013443065,213.0,0.48335677929566856
51,1484,838,683,869,712,0.803253,37,sports ball,853.5,697.5,899,-1.1673153554388727,-1.4508062274740274,-155.0,1.8621127379191629
52,1485,820,664,852,695,0.60316783,37,sports ball,836.0,679.5,992,-0.5556255556258334,-0.5715005715008572,93.0,0.7970775754531817
53,1486,802,648,830,677,0.6054454,37,sports ball,816.0,662.5,812,-0.7018624063435964,-0.596583045392057,-180.0,0.9211526298544042
54,1487,780,632,812,661,0.5057648,37,sports ball,796.0,646.5,928,-0.6565321642986127,-0.5252257314388902,116.0,0.8407714027749384
55,1504,547,615,581,646,0.7360416,37,sports ball,564.0,630.5,1054,-7.1460768021508905,-0.492832882906958,126.0,7.163050880226489
56,1505,544,627,575,658,0.5806537,37,sports ball,559.5,642.5,961,-0.14516129032258066,0.3870967741935484,-93.0,0.41341953606375154
57,1509,519,730,551,761,0.73252594,37,sports ball,535.0,745.5,992,-0.7778757778761668,3.2702532702549054,31.0,3.3614947831908584
58,1539,462,766,498,804,0.5989471,37,sports ball,480.0,785.0,1368,-1.4870296936986567,1.0679576891108533,376.0,1.8307897027437408
59,1545,495,736,529,765,0.7091514,37,sports ball,512.0,750.5,986,1.0190876084775713,-1.0987038278898815,-382.0,1.4985625296171041
60,1546,497,715,536,753,0.5130016,37,sports ball,516.5,734.0,1482,0.11689297502987951,-0.4286075751095582,496.0,0.4442616583193193
61,1554,1494,536,1519,559,0.78856593,37,sports ball,1506.5,547.5,575,41.285853983300804,-7.7775876443288885,-907.0,42.01205313592341
62,1563,693,809,730,846,0.6498624,37,sports ball,711.5,827.5,1369,-21.486486486486488,7.5675675675675675,794.0,22.780192721389934
63,1567,713,756,746,785,0.5847593,37,sports ball,729.5,770.5,957,0.5818573654517124,-1.8425483239304223,-412.0,1.9322376457747674
64,1568,717,742,751,776,0.78715456,37,sports ball,734.0,759.0,1156,0.1323529411764706,-0.3382352941176471,199.0,0.36320850103613145
65,1569,725,732,757,761,0.77173626,37,sports ball,741.0,746.5,928,0.22978625750451445,-0.41033260268663296,-228.0,0.4702920039353393
66,1570,729,719,762,750,0.7917382,37,sports ball,745.5,734.5,1023,0.14069371488316254,-0.3751832396884334,95.0,0.40069587563479253
67,1571,732,710,765,742,0.7724335,37,sports ball,748.5,726.0,1056,0.09231861823449955,-0.26156941833108205,33.0,0.2773829264370608
68,1572,736,704,768,738,0.7087042,37,sports ball,752.0,721.0,1088,0.10610933595339568,-0.15158476564770812,32.0,0.1850327872376709
69,1573,738,702,771,734,0.6817304,37,sports ball,754.5,718.0,1056,0.07693218186208295,-0.09231861823449955,-32.0,0.12017190969102504
70,1574,738,702,772,734,0.57902384,37,sports ball,755.0,718.0,1088,0.01515847656477081,0.0,32.0,0.01515847656477081
71,1575,738,707,771,738,0.7443544,37,sports ball,754.5,722.5,1023,-0.01563263498701806,0.14069371488316254,-65.0,0.14155953053137035
72,1576,736,713,767,745,0.78696805,37,sports ball,751.5,729.0,992,-0.09525009525014287,0.20637520637530957,-31.0,0.22729563667526242
73,1578,729,728,761,758,0.66589415,37,sports ball,745.0,743.0,960,-0.2097865979195684,0.45184805705753195,-32.0,0.4981737481374679
74,1579,721,742,753,774,0.7566039,37,sports ball,737.0,758.0,1024,-0.25,0.46875,64.0,0.53125
75,1580,713,760,745,792,0.6836183,37,sports ball,729.0,776.0,1024,-0.25,0.5625,0.0,0.6155536126122565
76,1585,1023,592,1037,604,0.6682053,37,sports ball,1030.0,598.0,168,23.22265416929483,-13.73299814662618,-856.0,26.979379250863143
77,1607,907,659,945,689,0.60554314,37,sports ball,926.0,674.0,1140,-3.08021416434728,2.2509257354845507,972.0,3.815021096260449
78,1611,979,722,1009,756,0.5425983,37,sports ball,994.0,739.0,1020,2.1291625896895083,2.035228946026736,-120.0,2.9454185094954557
79,1612,986,705,1016,733,0.8190235,37,sports ball,1001.0,719.0,840,0.24152294576982397,-0.6900655593423543,-180.0,0.7311113523423156
80,1613,994,686,1023,715,0.87473685,37,sports ball,1008.5,700.5,841,0.25862068965517243,-0.6379310344827587,1.0,0.6883608544026597
81,1614,998,670,1029,698,0.6160208,37,sports ball,1013.5,684.0,868,0.16971105832553268,-0.5600464924742579,27.0,0.5851956228909195
