,frame_idx,x1,y1,x2,y2,confidence,class_id,class_name,cx,cy,area,raw_dx,raw_dy,d_area,cam_dx,cam_dy,corrected_dx,corrected_dy,dx,dy,magnitude,log_magnitude,magnitude_bucket
0,962,1546,586,1568,612,0.5139142,37,sports ball,1557.0,599.0,572,778.5,-360.0,-65438.0,-32.175048828125,80.09521484375,810.675048828125,-440.09521484375,33.89602661473138,-18.401305352771995,38.56875236447938,1.5862355903831336,2
1,964,1554,563,1580,589,0.5759593,37,sports ball,1567.0,576.0,676,10.0,-23.0,104.0,0.8943710327148438,0.0119781494140625,9.105628967285156,-23.011978149414062,0.35021649874173677,-0.8850760826697717,0.9518462418400303,-0.02143320047429387,1
2,981,1562,560,1585,585,0.5117469,37,sports ball,1573.5,572.5,575,6.5,-3.5,-101.0,23.809844970703125,4.69500732421875,-17.309844970703125,-8.19500732421875,-0.7218704362969929,-0.34175543008058173,0.798682478078225,-0.09762584324677123,1
3,982,1564,559,1589,586,0.5680932,37,sports ball,1576.5,572.5,675,3.0,0.0,100.0,2.65032958984375,0.486846923828125,0.34967041015625,-0.486846923828125,0.013458820362090519,-0.018738746835087278,0.023071204530507632,-1.6369297306936168,1
4,1011,382,512,408,535,0.60410446,37,sports ball,395.0,523.5,598,-1181.5,-49.0,-77.0,-20.472381591796875,-33.72503662109375,-1161.0276184082031,-15.27496337890625,-47.47795000805741,-0.6246397038107657,47.48205884044178,1.6765295418675896,2
5,1022,378,529,403,555,0.5651181,37,sports ball,390.5,542.0,650,-4.5,18.5,52.0,-7.594085693359375,0.00457763671875,3.094085693359375,18.49542236328125,0.1213600255935978,0.7254501503270113,0.7355312205620929,-0.13339888836123426,1
6,1033,372,526,399,554,0.634874,37,sports ball,385.5,540.0,756,-5.0,-2.0,106.0,-7.3616943359375,-0.042400360107421875,2.3616943359375,-1.9575996398925781,0.08589399256176238,-0.07119721055734947,0.11156532054965666,-0.9524707824101343,1
7,1055,359,485,389,510,0.5844243,37,sports ball,374.0,497.5,750,-11.5,-42.5,-6.0,-13.92230224609375,-0.184051513671875,2.42230224609375,-42.315948486328125,0.08844997208539847,-1.5451599685459,1.5476894798242555,0.18968383055458962,1
8,1066,353,463,385,495,0.77387995,37,sports ball,369.0,479.0,1024,-5.0,-18.5,274.0,-7.0065460205078125,0.010498046875,2.0065460205078125,-18.510498046875,0.06270456314086914,-0.5784530639648438,0.5818417391774183,-0.23519512728931882,1
9,1144,321,476,350,505,0.6939095,37,sports ball,335.5,490.5,841,-33.5,11.5,-183.0,-40.045318603515625,1.6979522705078125,6.545318603515625,9.802047729492188,0.22570064150053878,0.33800164584455816,0.40643067326099397,-0.3910135233488825,1
10,1147,1582,723,1610,751,0.6119282,37,sports ball,1596.0,737.0,784,1260.5,246.5,-57.0,0.073486328125,8.16058349609375,1260.426513671875,238.33941650390625,45.015232631138396,8.512122017996651,45.812960939943295,1.6609883615932097,2
11,1148,1579,743,1610,769,0.51354575,37,sports ball,1594.5,756.0,806,-1.5,19.0,22.0,0.79425048828125,-0.057098388671875,-2.29425048828125,19.057098388671875,-0.08081152676007142,0.671257660953663,0.676104540915291,-0.16998614720567906,1
12,1191,1594,825,1628,855,0.6497716,37,sports ball,1611.0,840.0,1020,16.5,84.0,214.0,6.5976104736328125,-10.99786376953125,9.902389526367188,94.99786376953125,0.31005584305991507,2.9744984946839157,2.9906146392827804,0.47576045488511354,1
