,frame_idx,x1,y1,x2,y2,confidence,class_id,class_name,cx,cy,area,dx,dy,d_area,magnitude,bucket,cluster
0,962,1546.0406,586.17395,1568.6425,612.3489,0.5139142,37,sports ball,1557.34155,599.2614249999999,591.6036024049963,778.2411000000001,-360.2169000000001,-65562.27354576997,857.563656398066,4,
1,964,1554.3643,563.79034,1580.4756,589.494,0.5759593,37,sports ball,1567.41995,576.6421700000001,671.1559773580011,10.078399999999874,-22.61925499999984,79.5523749530048,24.76297323253036,3,
2,981,1562.1522,560.9257,1585.1052,585.64954,0.5117469,37,sports ball,1573.6287,573.2876200000001,567.4862995199993,6.208750000000009,-3.3545500000000175,-103.6696778380018,7.05702361233121,0,
3,982,1564.2596,559.3144,1589.7097,586.07086,0.5680932,37,sports ball,1576.98465,572.69263,680.9545826460021,3.355950000000121,-0.5949900000000525,113.4682831260028,3.4082860065729332,0,
4,1011,382.24695,512.2647,408.70117,535.8052,0.60410446,37,sports ball,395.47406,524.03495,622.7455659100009,-1181.51059,-48.65768000000003,-58.20901673600122,1182.5120904689013,4,
5,1022,378.57172,529.1111,403.44205,555.59467,0.5651181,37,sports ball,391.006885,542.352885,658.6551254780987,-4.4671749999999975,18.317935000000034,35.90955956809785,18.854771150688922,2,
6,1033,372.0364,526.94073,399.2085,554.63617,0.634874,37,sports ball,385.62245,540.78845,752.543265223999,-5.384434999999996,-1.5644350000000031,93.88813974590028,5.607102383446371,0,
7,1055,359.32224,485.43982,389.21353,510.09216,0.5844243,37,sports ball,374.267885,497.76599,736.8902441185987,-11.354565000000036,-43.022460000000024,-15.653021105400285,44.49559765629436,3,
8,1066,353.25504,463.61307,385.125,495.74554,0.77387995,37,sports ball,369.19002,479.679305,1024.0605336012002,-5.077864999999974,-18.08668499999999,287.17028948260145,18.78597581302205,2,
9,1144,321.10284,476.17493,350.7276,505.75302,0.6939095,37,sports ball,335.91522,490.963975,876.2438175083987,-33.27480000000003,11.284670000000006,-147.81671609280147,35.13625039825539,3,
10,1147,1582.7118,723.53046,1610.8889,751.47723,0.6119282,37,sports ball,1596.80035,737.503845,787.4589329669972,1260.8851300000001,246.53986999999995,-88.78488454140154,1284.7619306917272,4,
11,1148,1579.9685,743.98755,1610.9513,769.95575,0.51354575,37,sports ball,1595.4598999999998,756.97165,804.5675469599971,-1.3404500000001462,19.467805,17.10861399299995,19.51389857820639,2,
12,1191,1594.5085,825.2155,1628.5552,855.07733,0.6497716,37,sports ball,1611.5318499999998,840.1464149999999,1016.696767461001,16.071950000000015,83.17476499999998,212.12922050100383,84.71333489839554,4,
13,1256,1748.7672,599.5444,1784.8488,631.18744,0.51445425,37,sports ball,1766.808,615.36592,1141.731512064001,155.27615000000014,-224.78049499999997,125.03474460300004,273.1976458377113,4,
14,1257,1755.0908,573.09204,1789.8292,610.2759,0.5111039,37,sports ball,1772.46,591.68397,1291.7078022239978,5.652000000000044,-23.681949999999915,149.97629015999678,24.34707086699541,2,
15,1258,1755.4987,545.0176,1788.6458,577.43207,0.7523603,37,sports ball,1772.0722500000002,561.224835,1074.445678536995,-0.38774999999986903,-30.45913500000006,-217.2621236870027,30.46160296193765,3,
16,1262,1710.278,441.69308,1743.9354,471.03806,0.5163922,37,sports ball,1727.1067,456.36557,987.6757298520004,-44.96555000000012,-104.859265,-86.76994868499469,114.09367266918326,4,
17,1264,1662.7628,406.5,1697.229,435.77133,0.57264835,37,sports ball,1679.9959,421.135665,1008.8715140460014,-47.110800000000154,-35.229904999999974,21.19578419400102,58.826640928656104,3,
18,1265,1646.1903,389.15695,1676.002,422.67416,0.50915545,37,sports ball,1661.0961499999999,405.915555,999.2050093569984,-18.89975000000004,-15.220110000000034,-9.666504689002977,24.26627904056579,2,
19,1302,1560.6958,389.01935,1586.5376,417.01202,0.68231505,37,sports ball,1573.6167,403.01568499999996,723.380979606005,-87.47944999999982,-2.8998700000000213,-275.8240297509934,87.5275009258197,4,
20,1303,1568.9584,392.32886,1599.8188,420.45102,0.5899019,37,sports ball,1584.3886,406.38994,867.861106464001,10.77189999999996,3.374255000000062,144.48012685799597,11.288021368469522,1,
21,1339,1414.3582,118.37895,1445.9683,151.52283,0.6129054,37,sports ball,1430.16325,134.95089000000002,1047.6813611880032,-154.22534999999993,-271.43905,179.8202547240022,312.19323574915103,4,
22,1359,999.51514,17.131859,1030.4136,48.23887,0.5142619,37,sports ball,1014.96437,32.6853645,961.1587351030636,-415.19888000000003,-102.26552550000002,-86.52262608493959,427.6077029931121,4,
23,1370,760.07385,113.508446,795.1709,145.2252,0.6692097,37,sports ball,777.6223749999999,129.366823,1113.1645009756987,-237.3419950000001,96.68145850000002,152.00576587263515,256.27822187666925,4,
24,1375,634.56793,198.08401,667.71906,231.40958,0.53095526,37,sports ball,651.143495,214.74679500000002,1104.7803033940988,-126.47887999999989,85.37997200000001,-8.384197581599892,152.59962878321545,4,
25,1386,557.7764,423.10373,587.3225,452.45422,0.80949676,37,sports ball,572.54945,437.778975,867.1925125890018,-78.59404500000005,223.03217999999998,-237.58779080509703,236.47489766360917,4,
26,1387,563.38586,448.69852,593.6852,476.78076,0.5754519,37,sports ball,578.53553,462.73964,850.8733377216012,5.986080000000015,24.960665000000006,-16.319174867400648,25.668423227939527,3,
27,1431,371.57858,498.41986,403.25955,527.435,0.5591863,37,sports ball,387.419065,512.92743,919.2277798857974,-191.116465,50.18778999999995,68.35444216419626,197.5963498123898,4,
28,1442,400.11392,427.5167,430.27347,455.20468,0.5706607,37,sports ball,415.193695,441.36069,835.0570172089986,27.774630000000002,-71.56673999999998,-84.17076267679886,76.76736510956005,4,
29,1443,1501.1272,520.4457,1524.7305,543.0938,0.75396615,37,sports ball,1512.9288499999998,531.7697499999999,534.5698987299997,1097.7351549999998,90.40905999999995,-300.4871184789988,1101.4518912113035,4,
30,1445,416.70236,425.8792,449.83633,455.11038,0.5105604,37,sports ball,433.269345,440.49479,968.5450411845992,-1079.6595049999999,-91.27495999999991,433.97514245459945,1083.5108513807538,4,
31,1446,438.8844,425.0658,466.49652,453.17676,0.78301084,37,sports ball,452.69046000000003,439.12128,776.2032008351979,19.421115000000043,-1.3735100000000102,-192.3418403494013,19.469623457153112,2,
32,1447,456.18088,425.00012,485.17624,453.05127,0.8318504,37,sports ball,470.67856,439.025695,813.3531926640003,17.988099999999974,-0.09558500000002823,37.1499918288024,17.98835395755332,2,
33,1448,475.049,426.23392,505.9642,455.0788,0.74548244,37,sports ball,490.5066,440.65636,891.7452341760004,19.828039999999987,1.6306650000000218,78.3920415120001,19.894980235823926,2,
34,1449,494.4786,429.23853,524.0997,457.45764,0.7455104,37,sports ball,509.28914999999995,443.348085,835.8810792210004,18.782549999999958,2.6917250000000195,-55.864154955000004,18.974445129650658,2,
35,1450,514.4366,432.455,543.364,460.8598,0.7431545,37,sports ball,528.9003,446.6574,821.6770115200017,19.611150000000066,3.3093149999999696,-14.204067700998735,19.888407932555268,2,
36,1451,532.3958,436.72314,561.38025,465.64667,0.78427386,37,sports ball,546.888025,451.18490499999996,838.3326091085003,17.987724999999955,4.527504999999962,16.65559758849861,18.54876147349596,2,
37,1452,553.2494,442.13184,582.94366,470.88263,0.6663969,37,sports ball,568.09653,456.50723500000004,853.7334334653995,21.20850500000006,5.322330000000079,15.400824356899193,21.86613548306898,2,
38,1453,571.5616,449.7941,602.94727,478.85925,0.6943394,37,sports ball,587.2544350000001,464.326675,912.2292064004989,19.157905000000028,7.819439999999986,58.49577293509947,20.692244100208796,2,
39,1454,589.093,457.56302,620.09467,487.6969,0.7623238,37,sports ball,604.5938349999999,472.62996,934.2006035796007,17.33939999999984,8.30328499999996,21.971397179101814,19.224966427830736,2,
40,1456,608.5706,465.75623,640.445,496.8255,0.86676633,37,sports ball,624.5078000000001,481.290865,990.3143396879999,19.91396500000019,8.660905000000014,56.113736108399166,21.715830111700953,2,
41,1457,626.70734,477.34866,658.4052,506.91382,0.79343146,37,sports ball,642.55627,492.13124,937.1523025575995,18.048469999999952,10.840374999999995,-53.16203713040045,21.05376449667667,2,
42,1458,643.7456,487.53238,676.0012,519.4109,0.83524835,37,sports ball,659.8734,503.47164,1028.2607897120017,17.317129999999906,11.340399999999988,91.10848715440227,20.699943565065496,2,
43,1459,660.02704,501.24344,690.64294,530.7179,0.57621634,37,sports ball,675.3349900000001,515.98067,902.3871199139959,15.461590000000115,12.509030000000052,-125.87366979800584,19.888101892061112,2,
44,1473,861.9987,614.4301,893.6281,645.47253,0.5562967,37,sports ball,877.8134,629.951315,981.853435442,202.47840999999994,113.97064499999999,79.46631552800409,232.3506282277801,4,
45,1476,875.6403,628.1886,909.0495,658.42834,0.5542536,37,sports ball,892.3449,643.3084699999999,1010.2855216080014,14.531500000000051,13.35715499999992,28.432086166001454,19.737732441798485,2,
46,1478,881.2648,645.7007,910.782,674.53845,0.5905831,37,sports ball,896.0234,660.1195749999999,851.2096343000009,3.6784999999999854,16.811104999999998,-159.07588730800057,17.208852767428304,2,
47,1479,883.0704,668.5228,911.2822,697.98,0.83421755,37,sports ball,897.1763,683.2514,831.0406349600028,1.1528999999999314,23.13182500000005,-20.168999339998095,23.160537693253737,2,
